Player,NameofStat,amountOfStatDraftkings,amountOfstatPrizepicks,amountOfStatUnderdog
Max Strus,player_points_over_under,9.5,,12.5
Tobias Harris,player_points_over_under,17.5,17.5,17.5
Tyrese Maxey,player_points_over_under,26.5,25.5,25.5
Paul Reed,player_points_over_under,8.5,8.5,8.5
Evan Mobley,player_points_over_under,15.5,,16.5
Buddy Hield,player_points_over_under,15.5,14.5,14.5
Jarrett Allen,player_points_over_under,16.5,,17.5
Isaac Okoro,player_points_over_under,,,10.5
Rj Barrett,player_points_over_under,19.5,,
Bruce Brown,player_points_over_under,10.5,,
Immanuel Quickley,player_points_over_under,19.5,21.5,21.5
Trae Young,player_points_over_under,23.5,24.5,23.5
Dejounte Murray,player_points_over_under,21.5,21.5,21.5
Clint Capela,player_points_over_under,11.5,10.0,10.0
Bogdan Bogdanovic,player_points_over_under,14.5,14.0,14.0
Scottie Barnes,player_points_over_under,21.5,,23.5
Jakob Poeltl,player_points_over_under,12.5,,13.5
Gary Trent,player_points_over_under,12.5,,14.5
Jalen Johnson,player_points_over_under,15.5,15.5,15.5
Kelly Olynyk,player_points_over_under,8.5,,9.5
Gradey Dick,player_points_over_under,7.5,,8.0
Bruno Fernando,player_points_over_under,,6.5,6.5
Bam Adebayo,player_points_over_under,20.5,20.0,19.5
Jimmy Butler,player_points_over_under,21.5,21.5,19.5
Duncan Robinson,player_points_over_under,12.5,,12.5
Zion Williamson,player_points_over_under,23.5,,25.5
Tyler Herro,player_points_over_under,,18.5,18.5
Cj Mccollum,player_points_over_under,,,21.5
Jonas Valanciunas,player_points_over_under,,,13.5
Herbert Jones,player_points_over_under,,,11.5
Jordan Poole,player_points_over_under,14.5,13.5,13.5
Tyus Jones,player_points_over_under,12.5,12.5,12.5
Shai Gilgeous-Alexander,player_points_over_under,31.5,31.5,31.5
Chet Holmgren,player_points_over_under,14.5,15.5,15.5
Jalen Williams,player_points_over_under,21.5,20.5,20.5
Kyle Kuzma,player_points_over_under,21.5,21.0,20.5
Josh Giddey,player_points_over_under,11.5,,11.5
Luguentz Dort,player_points_over_under,11.5,11.0,11.0
Deni Avdija,player_points_over_under,15.5,14.5,14.5
Marvin Bagley Iii,player_points_over_under,11.5,11.5,11.5
Isaiah Joe,player_points_over_under,7.5,7.0,7.5
Bilal Coulibaly,player_points_over_under,7.5,8.0,8.0
Corey Kispert,player_points_over_under,11.5,11.5,11.5
Cason Wallace,player_points_over_under,5.5,,5.5
Aaron Wiggins,player_points_over_under,6.5,6.5,6.5
Kevin Durant,player_points_over_under,28.5,28.0,28.5
Devin Booker,player_points_over_under,29.5,28.5,28.5
Jeff Green,player_points_over_under,4.5,,4.5
Dillon Brooks,player_points_over_under,12.5,13.0,13.0
Fred Vanvleet,player_points_over_under,14.5,14.5,14.5
Jalen Green,player_points_over_under,15.5,16.5,16.5
Alperen Sengun,player_points_over_under,20.5,,20.5
Jusuf Nurkic,player_points_over_under,10.5,,
Amen Thompson,player_points_over_under,9.5,9.5,9.5
Cam Whitmore,player_points_over_under,13.5,12.5,12.5
Jabari Smith,player_points_over_under,13.5,13.5,13.5
Grayson Allen,player_points_over_under,11.5,11.5,11.5
Eric Gordon,player_points_over_under,14.5,14.5,14.5
Josh Okogie,player_points_over_under,,,5.5
Santi Aldama,player_points_over_under,10.5,9.5,9.5
Jaren Jackson,player_points_over_under,23.5,24.5,24.5
James Harden,player_points_over_under,16.5,16.5,16.5
Kawhi Leonard,player_points_over_under,24.5,23.5,23.5
Paul George,player_points_over_under,22.5,21.5,21.5
Russell Westbrook,player_points_over_under,10.5,10.0,10.5
Ivica Zubac,player_points_over_under,11.5,10.5,10.5
Terance Mann,player_points_over_under,6.5,7.5,7.5
Norman Powell,player_points_over_under,12.5,12.5,12.5
Vince Williams,player_points_over_under,12.5,13.0,13.0
Gg Jackson,player_points_over_under,,,15.5
Deandre Ayton,player_points_over_under,15.5,15.5,15.5
Nikola Jokic,player_points_over_under,25.5,28.5,28.5
Aaron Gordon,player_points_over_under,14.5,15.5,15.5
Michael Porter,player_points_over_under,15.5,17.5,17.5
Jerami Grant,player_points_over_under,21.5,22.5,22.5
Anfernee Simons,player_points_over_under,23.5,23.5,23.5
Reggie Jackson,player_points_over_under,13.5,,12.5
Kentavious Caldwell-Pope,player_points_over_under,,,9.5
Malik Beasley,player_points_over_under,9.5,10.5,10.5
Anthony Edwards,player_points_over_under,26.5,27.5,27.5
Karl-Anthony Towns,player_points_over_under,22.5,21.5,21.5
Rudy Gobert,player_points_over_under,15.5,14.5,14.5
Mike Conley,player_points_over_under,10.5,9.5,9.5
Giannis Antetokounmpo,player_points_over_under,27.5,28.5,28.5
Damian Lillard,player_points_over_under,23.5,,24.5
Brook Lopez,player_points_over_under,11.5,11.5,11.5
Nickeil Alexander-Walker,player_points_over_under,5.5,,5.5
Naz Reid,player_points_over_under,10.5,10.5,10.5
Kyle Anderson,player_points_over_under,5.5,,5.5
Bobby Portis,player_points_over_under,13.5,12.0,11.5
Pat Connaughton,player_points_over_under,3.5,,4.5
Patrick Beverley,player_points_over_under,4.5,,3.5
Jae Crowder,player_points_over_under,5.5,,5.0
Jaden Mcdaniels,player_points_over_under,10.5,10.5,10.5
Monte Morris,player_points_over_under,4.5,,4.5
Andrew Wiggins,player_points_over_under,12.5,12.5,12.5
Draymond Green,player_points_over_under,9.5,9.5,9.5
Klay Thompson,player_points_over_under,13.5,14.5,14.5
Stephen Curry,player_points_over_under,29.5,29.5,29.5
Grant Williams,player_points_over_under,12.5,,13.0
Brandon Miller,player_points_over_under,19.5,20.5,20.5
Jonathan Kuminga,player_points_over_under,16.5,16.5,16.5
Nick Richards,player_points_over_under,11.5,9.5,10.0
Seth Curry,player_points_over_under,8.5,,8.5
Brandin Podziemski,player_points_over_under,11.5,12.5,12.5
Miles Bridges,player_points_over_under,23.5,22.5,22.5
Cody Martin,player_points_over_under,7.5,7.5,7.5
Vasilije Micic,player_points_over_under,6.5,,6.5
Tre Mann,player_points_over_under,13.5,,12.5
Gary Payton Ii,player_points_over_under,,,4.5
Anthony Davis,player_points_over_under,25.5,24.5,24.5
Victor Wembanyama,player_points_over_under,23.5,22.5,22.5
Devin Vassell,player_points_over_under,22.5,21.5,21.5
Jeremy Sochan,player_points_over_under,12.5,12.5,12.5
Tre Jones,player_points_over_under,9.5,9.5,9.5
Keldon Johnson,player_points_over_under,13.5,,13.0
Julian Champagnie,player_points_over_under,5.5,,5.5
D'Angelo Russell,player_points_over_under,,18.5,18.5
Rui Hachimura,player_points_over_under,,12.5,12.5
Austin Reaves,player_points_over_under,,15.5,16.5
Lebron James,player_points_over_under,,24.5,24.5
Zach Collins,player_points_over_under,,,7.5
Malaki Branham,player_points_over_under,,,6.5
Cedi Osman,player_points_over_under,,,4.5
Blake Wesley,player_points_over_under,,,5.5
